CommonName,SystematicName
AAR2,YBL074C
ABD1,YBR236C
ABF1,YKL112W
ACC1,YNR016C
ACP1,YKL192C
ACS2,YLR153C
ACT1,YFL039C
ADE13,YLR359W
AFG2,YLR397C
ALA1,YOR335C
ALG1,YBR110W
ALG13,YGL047W
ALG14,YBR070C
ALG2,YGL065C
ALG7,YBR243C
ALR1,YOL130W
AME1,YBR211C
AMN1,YBR158W
AOS1,YPR180W
APC1,YNL172W
APC11,YDL008W
APC2,YLR127C
APC4,YDR118W
APC5,YOR249C
ARB1,YER036C
ARC15,YIL062C
ARC19,YKL013C
ARC35,YNR035C
ARC40,YBR234C
ARH1,YDR376W
ARK1,YNL020C
ARP2,YDL029W
ARP3,YJR065C
ARP4,YJL081C
ARP7,YPR034W
ARP9,YMR033W
ASA1,YPR085C
ASK1,YKL052C
ATG1,YGL180W
ATM1,YMR301C
ATP16,YDL004W
AUR1,YKL004W
AVO1,YOL078W
BBP1,YPL255W
BCD1,YHR040W
BCP1,YDR361C
BDP1,YNL039W
BET1,YIL004C
BET2,YPR176C
BET3,YKR068C
BET4,YJL031C
BET5,YML077W
BFR2,YDR299W
BIG1,YHR101C
BIM1,YER016W
BMS1,YPL217C
BOS1,YLR078C
BPL1,YDL141W
BRF1,YGR246C
BRL1,YHR036W
BRN1,YBL097W
BRR2,YER172C
BRR6,YGL247W
BRX1,YOL077C
BUR6,YER159C
CAB1,YDR531W
CAB2,YIL083C
CAB3,YKL088W
CAB4,YGR277C
CAB5,YDR196C
CAK1,YFL029C
CBF2,YGR140W
CBF5,YLR175W
CBK1,YNL161W
CCA1,YER168C
CCC1,YLR220W
CCL1,YPR025C
CCT2,YIL142W
CCT3,YJL014W
CCT4,YDL143W
CCT5,YJR064W
CCT6,YDR188W
CCT7,YJL111W
CCT8,YJL008C
CDC1,YDR182W
CDC11,YJR076C
CDC12,YHR107C
CDC123,YLR215C
CDC13,YDL220C
CDC14,YFR028C
CDC15,YAR019C
CDC16,YKL022C
CDC19,YAL038W
CDC20,YGL116W
CDC21,YOR074C
CDC23,YHR166C
CDC24,YAL041W
CDC25,YLR310C
CDC27,YBL084C
CDC28,YBR160W
CDC3,YLR314C
CDC31,YOR257W
CDC33,YOL139C
CDC34,YDR054C
CDC36,YDL165W
CDC37,YDR168W
CDC39,YCR093W
CDC4,YFL009W
CDC42,YLR229C
CDC43,YGL155W
CDC45,YLR103C
CDC48,YDL126C
CDC5,YMR001C
CDC53,YDL132W
CDC6,YJL194W
CDC60,YPL160W
CDC7,YDL017W
CDC8,YJR057W
CDC9,YDL164C
CDS1,YBR029C
CEF1,YMR213W
CEG1,YGL130W
CEP3,YMR168C
CET1,YPL228W
CFD1,YIL003W
CFT1,YDR301W
CFT2,YLR115W
CHS2,YBR038W
CIA1,YDR267C
CIK1,YMR198W
CKS1,YBR135W
CLB3,YDL155W
CLB5,YPR120C
CLF1,YLR117C
CLP1,YOR250C
CMD1,YBR109C
CNS1,YBR155W
COF1,YLL050C
COG2,YGR120C
COG3,YER157W
